3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000102 Free shrinkage level, 29620000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 908000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.1e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.0004 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.0003768 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 7.431e-05 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 9.289e-05 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0001115 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.00013 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0001486 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0001672 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0001857 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00022 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0002229 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00026 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.00026 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0002786 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0002972 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.000215 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00023 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.0002 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.000245 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00026 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.000275 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00028 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.000295 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00031 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.000325 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00034 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.000355 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0004272 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0044578 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0004644 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0003157 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0003343 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0003529 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0003715 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.00039 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.1 Slab height, 0.0004086 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.3 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00015 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.18 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.3 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00016 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.18 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.3 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00017 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.18 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.3 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00018 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.18 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.3 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00019 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.18 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.3 Slab length, 4.5 Slab width, 0.2 Slab height, 0.0002 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.18 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.3 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00021 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.18 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.3 Slab length, 4.5 Slab width, 0.2 Slab height, 0.00022 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.18 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00015 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00024 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00016 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00017 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00018 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00019 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.0002 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00021 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00022 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00025 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00026 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00027 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00028 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00029 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.0003 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.01 Diameter of steel reinforcement, 0.15 Grid spacing of steel reinforcements, 970000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.01 Diameter of steel reinforcement, 0.15 Grid spacing of steel reinforcements, 970000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 970000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 990000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 990000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 990000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000257 Free shrinkage level, 33034000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
